Marks,Percentile
120,99.99793221
118.8,99.99586443
117.8,99.98552552
117.5,99.98138996
116.5,99.96691548
116.3,99.96277992
115.8,99.94210210
115.5,99.93796654
115.3,99.92762763
115,99.92142428
114.8,99.89867868
114.5,99.89661090
114.3,99.89454312
114,99.88627199
113.8,99.87593308
113.3,99.83457744
113,99.83044188
112.8,99.81389962
112.5,99.79735737
112.3,99.74773060
112,99.74566282
111.8,99.74152726
111.5,99.72084944
111.3,99.70017162
111,99.65674820
110.8,99.65468042
110.5,99.64227373
110.3,99.60712144
110,99.58024027
109.8,99.50993569
109.5,99.50786791
109.3,99.49132565
109,99.46651227
108.8,99.42929219
108.5,99.36725874
108.3,99.35485205
108,99.32797088
107.8,99.29488637
107.5,99.27834412
107.3,99.21010731
107,99.19149728
106.8,99.16668389
106.5,99.12119269
106.3,99.07776927
106,99.01366803
105.8,98.98885465
105.5,98.95990570
105.3,98.93095676
105,98.90614337
104.8,98.81722875
104.5,98.79448315
104.3,98.76139864
104,98.71383966
103.8,98.66214511
103.5,98.56289158
103.3,98.53187485
103,98.50499369
102.8,98.45329914
102.5,98.39953681
102.3,98.30648663
102,98.27546990
101.8,98.22170757
101.5,98.17001302
101.3,98.10384400
101,97.98804822
100.8,97.94876036
100.5,97.90533694
100.3,97.85364239
100,97.80194785
99.75,97.71303322
99.5,97.66960980
99.25,97.63238973
99,97.57242406
98.75,97.51245838
98.5,97.42354376
98.25,97.38218812
98,97.32842579
97.75,97.28500237
97.5,97.21469779
97.25,97.11544426
97,97.07408862
96.75,97.02239407
96.5,96.97069953
96.25,96.90039494
96,96.80114141
95.75,96.74324352
95.5,96.69775232
95.25,96.64605777
95,96.59436322
94.75,96.49924525
94.5,96.45168627
94.25,96.39172060
94,96.32141601
93.75,96.24697586
93.5,96.13324786
93.25,96.07741775
93,96.02158764
92.75,95.95748640
92.5,95.90785963
92.25,95.81274167
92,95.73209817
91.75,95.65559024
91.5,95.58115010
91.25,95.50877773
91,95.38884638
90.75,95.33094849
90.5,95.26477947
90.25,95.19240710
90,95.10349248
89.75,94.98562891
89.5,94.93393436
89.25,94.87603647
89,94.78712185
88.75,94.73129174
88.5,94.59688592
88.25,94.53278468
88,94.43559893
87.75,94.33634540
87.5,94.27017638
87.25,94.14197390
87,94.05305928
86.75,93.97241578
86.5,93.85248443
86.25,93.76563760
86,93.63950290
85.75,93.53404602
85.5,93.45753809
85.25,93.37689460
85,93.29004776
84.75,93.15770972
84.5,93.06259175
84.25,92.99228717
84,92.88476251
83.75,92.78550898
83.5,92.63662868
83.25,92.54978184
83,92.46293500
82.75,92.37608817
82.5,92.31612249
82.25,92.19619114
82,92.10107317
81.75,91.98941295
81.5,91.88602386
81.25,91.76402473
81,91.62755112
80.75,91.54070428
80.5,91.43938297
80.25,91.35667169
80,91.24087591
79.75,91.10647008
79.5,91.00101321
79.25,90.89348855
79,90.78803167
78.75,90.70325262
78.5,90.56884679
78.25,90.47166104
78,90.36620417
77.75,90.27728955
77.5,90.15322263
77.25,89.98159674
77,89.90508881
76.75,89.79549637
76.5,89.69210727
76.25,89.58665040
76,89.42536341
75.75,89.29095758
75.5,89.19790740
75.25,89.06970492
75,88.96218026
74.75,88.82570666
74.5,88.75333429
74.25,88.65821633
74,88.53828498
73.75,88.42248919
73.5,88.25913442
73.25,88.14540642
73,88.00686503
72.75,87.91588263
72.5,87.81662910
72.25,87.66154546
72,87.53334298
71.75,87.40514050
71.5,87.29554806
71.25,87.15700667
71,87.00192303
70.75,86.87992390
70.5,86.75792477
70.25,86.64419677
70,86.48911312
69.75,86.30714832
69.5,86.18308140
69.25,86.04454002
69,85.90806641
68.75,85.77986393
68.5,85.57928909
68.25,85.46762887
68,85.34356196
67.75,85.18434275
67.5,85.05407249
67.25,84.87624325
67,84.76871859
66.75,84.64671946
66.5,84.51231364
66.25,84.38204338
66,84.15665515
65.75,84.02845267
65.5,83.92713136
65.25,83.79272554
65,83.64177746
64.75,83.45360931
64.5,83.28611898
64.25,83.10622195
64,82.98215504
63.75,82.83120696
63.5,82.59341204
63.3,82.42798949
63,82.29151589
62.8,82.17572010
62.5,82.01443311
62.3,81.85521391
62,81.72287587
61.8,81.56365666
61.5,81.42097971
61.3,81.24108269
61,81.04050784
60.8,80.89989867
60.5,80.74688281
60.3,80.60420586
60,80.46359669
59.8,80.21959843
59.5,80.07071814
59.3,79.92183784
59,79.75227972
58.8,79.60753499
58.5,79.39455346
58.3,79.25187651
58,79.11540290
57.8,78.91896362
57.5,78.75354107
57.3,78.50540724
57,78.36273029
56.8,78.20144331
56.5,78.01947850
56.3,77.82717478
56,77.57283761
55.8,77.43016066
55.5,77.26887367
55.3,77.06623105
55,76.87392733
54.8,76.64647133
54.5,76.49552325
54.3,76.27220280
54,76.09023800
53.8,75.90620541
53.5,75.67461384
53.3,75.47817456
53,75.30034531
52.8,75.07082152
52.5,74.87024668
52.3,74.62831620
52,74.44428361
51.8,74.24784433
51.5,74.07415065
51.3,73.88805028
51,73.60062860
50.8,73.46829056
50.5,73.25117346
50.3,73.05473418
50,72.86036268
49.8,72.59155104
49.5,72.37236616
49.3,72.15111350
49,71.93606418
48.8,71.72308264
48.5,71.43359318
48.3,71.23301834
48,71.05518909
47.8,70.88149541
47.5,70.69746283
47.3,70.40177002
47,70.16811066
46.8,69.97994251
46.5,69.74628316
46.3,69.50848824
46,69.20659208
45.8,69.02255950
45.5,68.79717127
45.3,68.56557970
45,68.31744587
44.8,67.95144848
44.5,67.73846694
44.3,67.50687537
44,67.27114823
43.8,67.00440437
43.5,66.67769483
43.3,66.46471330
43,66.21451169
42.8,65.97258121
42.5,65.72031182
42.3,65.32122991
42,65.06896052
41.8,64.82289448
41.5,64.58303178
41.3,64.37832137
41,63.95649386
40.8,63.70008891
40.5,63.44575174
40.3,63.19141456
40,62.94328074
39.8,62.55040218
39.5,62.29399722
39.3,62.01277889
39,61.73983168
38.8,61.47102003
38.5,61.06366700
38.3,60.78244866
38,60.51363702
37.8,60.19519861
37.5,59.93465809
37.3,59.49215276
37,59.18612104
36.8,58.92144496
