Marks,Percentile
220,99.9987583
219,99.9948262
218,99.9840648
217,99.9650253
216,99.9368801
215,99.8965247
214,99.8389924
213,99.7582816
212,99.6382503
211,99.4958682
210,99.2841577
209,98.964212
208,98.5863201
207,98.1730397
206,97.7347182
205,96.5397852
204,96.12547
203,95.7217093
202,95.2941493
201,94.8889399
200,94.4698649
199,94.0466508
198,93.6294383
197,93.1975323
196,92.8034983
195,92.3856649
194,91.9541728
193,91.5408924
192,91.1224382
191,90.7066744
190,90.2946356
189,89.8691451
188,89.4473797
187,89.0254073
186,88.5879137
185,88.1663552
184,87.752247
183,87.3068892
182,86.8745693
181,86.4331436
180,85.9873719
179,85.5389098
178,85.0865157
177,84.6372259
176,84.162895
175,83.7107078
174,83.2541747
173,82.7835689
172,82.3102728
171,81.8309751
170,81.3487801
169,80.8531333
168,80.3589352
167,79.8577007
166,79.3610192
165,78.8395036
164,78.3101238
163,77.7821927
162,77.2689551
161,76.741231
160,76.2021246
159,75.6534984
158,75.1119086
157,74.5403109
156,73.9809233
155,73.4289859
154,72.8586299
153,72.2828933
152,71.6891519
151,71.0995495
150,70.5225711
149,69.9195169
148,69.3174975
147,68.7026471
146,68.0892454
145,67.4547347
144,66.8206379
143,66.1935775
142,65.5696213
141,64.9257978
140,64.2507248
139,63.5847577
138,62.9206531
137,62.2466148
136,61.5465008
135,60.8501119
134,60.1514465
133,59.4409849
132,58.7044476
131,57.981569
130,57.2415135
129,56.5070456
128,55.7477437
127,54.9822333
126,54.1972695
125,53.4083736
124,52.5743625
123,51.7583561
122,50.9504208
121,50.1333797
120,49.293367
119,48.4597698
118,47.5986482
117,46.731525
116,45.8528126
115,44.9505078
114,44.026887
113,43.1165111
112,42.1709536
111,41.2367784
110,40.2338956
109,39.2649527
108,38.2926986
107,37.2716041
106,36.2190531
105,35.1625701
104,34.1096052
103,33.0185614
102,31.9026835
101,30.8240568
100,29.6717556
99,28.5482205
98,27.3822606
97,26.2092644
96,25.0749679
95,24.1192698
94,23.1745401
93,22.1399938
92,21.0009375
91,19.7865511
90,18.395015
89,16.8548883
88,15.53951
87,14.8956865
86,14.3629956
85,13.7649082
84,12.9987769
83,12.0358356
82,10.8406956
81,9.23124044
80,8.11846683
79,7.15759499
78,7.04273738
77,6.84654817
76,6.54978094
75,6.15864422
74,5.64147456
73,5.03407442
72,3.73918424
71,3.68620488
70,3.63094905
69,3.56141364
68,3.46663024
67,3.33542353
66,3.18414261
65,3.01051102
64,2.81432181
63,2.64151802
62,2.49106491
61,2.34909676
60,2.16594544
59,1.92050198
58,1.59972848
57,1.23466754
56,0.88678351
55,0.59312055
54,0.36485399
53,0.20715759
52,0.10616568
51,0.04552914
50,0.01841861
