Marks,Percentile
300,99.99749115
299,99.99498231
298,99.98996462
297,99.97742040
296,99.93727890
295,99.88208434
294,99.81936325
293,99.72904488
292,99.62116460
291,99.48066935
290,99.31508567
289,99.10936049
288,98.87352919
287,98.60508291
286,98.35921623
285,98.06819037
284,97.78218219
283,97.44348829
282,97.08974133
281,96.71592363
280,96.30949095
279,95.86040793
278,95.46150179
277,94.97227727
276,94.49057929
275,93.98630171
274,93.45191801
273,92.95516696
272,92.49855741
271,92.06452745
270,91.52512606
269,90.94307433
268,90.40367294
267,89.80656815
266,89.18939260
265,88.64748237
264,88.01525376
263,87.38302516
262,86.80849996
261,86.15870945
260,85.55658696
259,84.94442911
258,84.29463860
257,83.64986577
256,82.95742492
255,82.28003713
254,81.62021124
253,81.04066835
252,80.43603703
251,79.85900298
250,79.22426553
249,78.59705461
248,77.96482601
247,77.26987631
246,76.64517423
245,76.03050753
244,75.34559321
243,74.60548433
242,73.94565844
241,73.34102712
240,72.63102436
239,71.94611003
238,71.36656714
237,70.75691813
236,70.13221606
235,69.47991670
234,68.92546225
233,68.30828671
232,67.67605810
231,67.05135603
230,66.40658320
229,65.81951378
228,65.25251511
227,64.65541032
226,64.04074362
225,63.42356807
224,62.83148097
223,62.24942923
222,61.67490403
221,61.09536114
220,60.57603050
219,60.00903183
218,59.36175016
217,58.75711884
216,58.16754058
215,57.61308612
214,57.08622895
213,56.48159763
212,55.99488195
211,55.55834315
210,55.04403020
209,54.53975262
208,53.96271858
207,53.41579066
206,52.96419880
205,52.42228856
204,51.91550214
203,51.35603000
202,50.84422589
201,50.32740409
200,49.83817958
199,49.33390200
198,48.80704483
197,48.25509922
196,47.79598083
195,47.33937128
194,46.85014676
193,46.37848415
192,45.95198073
191,45.38247321
190,44.89826638
189,44.45420105
188,43.98002960
187,43.53094658
186,42.97900097
185,42.43458190
184,41.99804310
183,41.56401314
182,41.04970019
181,40.65079404
180,40.20421987
179,39.76517223
178,39.31608921
177,38.92220075
176,38.49318848
175,38.05414084
174,37.57996939
173,37.10830678
172,36.64918838
171,36.16247271
170,35.72342507
169,35.20911212
168,34.76504678
167,34.29087533
166,33.81670388
165,33.38267392
164,32.98125893
163,32.58987932
162,32.13577861
161,31.67666022
160,31.28277177
159,30.91898943
158,30.49248601
157,30.12368599
156,29.73732406
155,29.33590907
154,28.92947640
153,28.50297297
152,28.05890764
151,27.65247497
150,27.27865726
149,26.86971574
148,26.52098647
147,26.12960686
146,25.70059459
145,25.27660001
144,24.89525577
143,24.46373466
142,24.09493464
141,23.69101081
140,23.33726385
139,22.94839308
138,22.53443387
137,22.17065154
136,21.81941343
135,21.43305150
134,21.03414536
133,20.68290724
132,20.29403647
131,19.89011264
130,19.52633031
129,19.18763641
128,18.81381871
127,18.42745678
126,18.10883363
125,17.73250708
124,17.42141047
123,17.10278732
122,16.70889886
121,16.36769612
120,15.97380767
119,15.63009608
118,15.31398178
117,15.01292054
116,14.67673549
115,14.36814772
114,14.05705110
113,13.71083067
112,13.37464562
111,13.02842519
110,12.71481973
109,12.42881156
108,12.09513535
107,11.79156526
106,11.50053940
105,11.21954890
104,10.90092576
103,10.59233799
102,10.29880328
101,10.01028625
100,09.73431345
99,09.43576105
98,09.14473519
97,08.88381544
96,08.61787802
95,08.34943174
94,08.12865350
93,07.83260995
92,07.55663714
91,07.31327930
90,07.06741262
80,04.87970094
