Inst_Code,Inst_Name,Branch_Name,Category,Year,Closing_Marks
1,"A.D.Patel Institute Of Tech.,Karamsad",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,EWS,2022,55.1018
1,"A.D.Patel Institute Of Tech.,Karamsad",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,OPEN,2022,64.016
1,"A.D.Patel Institute Of Tech.,Karamsad",COMPUTER ENGINEERING,EWS,2022,87.6297
1,"A.D.Patel Institute Of Tech.,Karamsad",COMPUTER ENGINEERING,OPEN,2022,88.1931
1,"A.D.Patel Institute Of Tech.,Karamsad",COMPUTER ENGINEERING,SC,2022,60.5179
1,"A.D.Patel Institute Of Tech.,Karamsad",COMPUTER ENGINEERING,SEBC,2022,79.233
1,"A.D.Patel Institute Of Tech.,Karamsad",COMPUTER SCIENCE & DESIGN,EWS,2022,68.0398
1,"A.D.Patel Institute Of Tech.,Karamsad",COMPUTER SCIENCE & DESIGN,OPEN,2022,73.4918
1,"A.D.Patel Institute Of Tech.,Karamsad",COMPUTER SCIENCE & DESIGN,SEBC,2022,45.2401
1,"A.D.Patel Institute Of Tech.,Karamsad",FOOD PROCESSING TECHNOLOGY,EWS,2022,21.5884
1,"A.D.Patel Institute Of Tech.,Karamsad",FOOD PROCESSING TECHNOLOGY,OPEN,2022,31.7973
1,"A.D.Patel Institute Of Tech.,Karamsad",FOOD PROCESSING TECHNOLOGY,SC,2022,9.3728
1,"A.D.Patel Institute Of Tech.,Karamsad",INFORMATION TECHNOLOGY,EWS,2022,82.9008
1,"A.D.Patel Institute Of Tech.,Karamsad",INFORMATION TECHNOLOGY,OPEN,2022,84.297
1,"A.D.Patel Institute Of Tech.,Karamsad",INFORMATION TECHNOLOGY,SC,2022,39.5379
1,"A.D.Patel Institute Of Tech.,Karamsad",INFORMATION TECHNOLOGY,SEBC,2022,74.4939
2,"ADANI INSTITUTE OF INFRASTRUCTURE ENGINEERING,AHMEDABAD",CIVIL & INFRASTRUCTURE ENGINEERING,OPEN,2022,4.2888
2,"ADANI INSTITUTE OF INFRASTRUCTURE ENGINEERING,AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL IN,EWS,2022,88.3568
2,"ADANI INSTITUTE OF INFRASTRUCTURE ENGINEERING,AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL IN,SEBC,2022,66.5285
2,"ADANI INSTITUTE OF INFRASTRUCTURE ENGINEERING,AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,EWS,2022,84.3578
2,"ADANI INSTITUTE OF INFRASTRUCTURE ENGINEERING,AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,OPEN,2022,86.4605
2,"ADANI INSTITUTE OF INFRASTRUCTURE ENGINEERING,AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,SC,2022,69.5206
2,"ADANI INSTITUTE OF INFRASTRUCTURE ENGINEERING,AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,SEBC,2022,62.9787
6,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER ENGINEERING,OPEN,2022,5.3281
6,ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,INFORMATION TECHNOLOGY,OPEN,2022,2.2299
7,APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,COMPUTER ENGINEERING,EWS,2022,27.2401
7,APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,COMPUTER ENGINEERING,OPEN,2022,38.3951
7,APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,INFORMATION TECHNOLOGY,OPEN,2022,6.7125
9,"Ahmedabad Institute Of Tech, Ahmedabad",COMPUTER ENGINEERING,EWS,2022,68.2208
9,"Ahmedabad Institute Of Tech, Ahmedabad",COMPUTER ENGINEERING,OPEN,2022,72.51
9,"Ahmedabad Institute Of Tech, Ahmedabad",COMPUTER ENGINEERING,SC,2022,36.2218
9,"Ahmedabad Institute Of Tech, Ahmedabad",COMPUTER ENGINEERING,SEBC,2022,31.3074
9,"Ahmedabad Institute Of Tech, Ahmedabad",INFORMATION TECHNOLOGY,EWS,2022,65.5889
9,"Ahmedabad Institute Of Tech, Ahmedabad",INFORMATION TECHNOLOGY,OPEN,2022,67.5235
9,"Ahmedabad Institute Of Tech, Ahmedabad",INFORMATION TECHNOLOGY,SC,2022,26.807
9,"Ahmedabad Institute Of Tech, Ahmedabad",INFORMATION TECHNOLOGY,SEBC,2022,29.9519
12,"Amiraj College Of Engg & Tech., Sanand, Ahmedabad",COMPUTER SCIENCE & ENGINEERING,OPEN,2022,13.8861
15,Asha M. Tarsadia Institute of Computer Science & Tech. Bardoli,COMPUTER ENGINEERING (SOFTWARE ENGINEERIN,OPEN,2022,6.4121
15,Asha M. Tarsadia Institute of Computer Science & Tech. Bardoli,COMPUTER SCIENCE & ENGINEERING,OPEN,2022,1.298
16,"Atmiya University, Faculty of Engineering and Technology, Rajkot",COMPUTER ENGINEERING,OPEN,2022,35.2444
16,"Atmiya University, Faculty of Engineering and Technology, Rajkot",INFORMATION TECHNOLOGY,OPEN,2022,9.9979
18,"Bhagwan Arihant Institute of Tech., Surat",COMPUTER ENGINEERING,OPEN,2022,23.7874
18,"Bhagwan Arihant Institute of Tech., Surat",INFORMATION TECHNOLOGY,OPEN,2022,9.1557
19,"Bhagwan Mahavir College Of Engg. And Tech., Surat",COMPUTER ENGINEERING,EWS,2022,38.785
19,"Bhagwan Mahavir College Of Engg. And Tech., Surat",COMPUTER ENGINEERING,OPEN,2022,49.2646
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",CIVIL ENGINEERING,EWS,2022,59.9232
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",CIVIL ENGINEERING,OPEN,2022,66.2511
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",CIVIL ENGINEERING,SC,2022,44.8972
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",CIVIL ENGINEERING,SEBC,2022,54.6684
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",CIVIL ENGINEERING,ST,2022,36.8522
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",COMPUTER ENGINEERING,EWS,2022,97.2975
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",COMPUTER ENGINEERING,OPEN,2022,97.3882
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",COMPUTER ENGINEERING,SC,2022,87.4875
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",COMPUTER ENGINEERING,SEBC,2022,95.0463
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",COMPUTER ENGINEERING,ST,2022,41.2399
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",ELECTRICAL ENGINEERING,EWS,2022,69.5105
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",ELECTRICAL ENGINEERING,OPEN,2022,75.5405
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",ELECTRICAL ENGINEERING,SC,2022,48.8616
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",ELECTRICAL ENGINEERING,SEBC,2022,61.6853
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",ELECTRICAL ENGINEERING,ST,2022,27.0394
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",ELECTRONICS ENGINEERING,EWS,2022,65.0867
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",ELECTRONICS ENGINEERING,OPEN,2022,70.8256
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",ELECTRONICS ENGINEERING,SC,2022,18.8337
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",ELECTRONICS ENGINEERING,SEBC,2022,31.9217
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",MECHANICAL ENGINEERING,EWS,2022,73.7036
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",MECHANICAL ENGINEERING,OPEN,2022,79.7241
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",MECHANICAL ENGINEERING,SC,2022,43.1969
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",MECHANICAL ENGINEERING,SEBC,2022,69.8983
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",MECHANICAL ENGINEERING,ST,2022,4.9051
20,"Birla Vishvakarma Maha Vidhyalaya(Gia), V.V.Nagar",PRODUCTION ENGINEERING,OPEN,2022,9.9094
21,"Birla Vishvakarma Maha Vidhylaya(Sfi), V.V.Nagar",ELECTRONICS & COMMUNICATION ENGINEERING,EWS,2022,56.0397
21,"Birla Vishvakarma Maha Vidhylaya(Sfi), V.V.Nagar",ELECTRONICS & COMMUNICATION ENGINEERING,OPEN,2022,61.0587
21,"Birla Vishvakarma Maha Vidhylaya(Sfi), V.V.Nagar",INFORMATION TECHNOLOGY,EWS,2022,94.501
21,"Birla Vishvakarma Maha Vidhylaya(Sfi), V.V.Nagar",INFORMATION TECHNOLOGY,OPEN,2022,94.9165
21,"Birla Vishvakarma Maha Vidhylaya(Sfi), V.V.Nagar",INFORMATION TECHNOLOGY,SC,2022,79.9639
21,"Birla Vishvakarma Maha Vidhylaya(Sfi), V.V.Nagar",INFORMATION TECHNOLOGY,SEBC,2022,91.196
21,"Birla Vishvakarma Maha Vidhylaya(Sfi), V.V.Nagar",MECHANICAL ENGINEERING,OPEN,2022,62.8611
21,"Birla Vishvakarma Maha Vidhylaya(Sfi), V.V.Nagar",MECHANICAL ENGINEERING,SC,2022,10.0536
21,"Birla Vishvakarma Maha Vidhylaya(Sfi), V.V.Nagar",MECHANICAL ENGINEERING,SEBC,2022,24.4041
22,"C. K. Pithawala College Of Engg. & Tech., Surat",CIVIL ENGINEERING,OPEN,2022,4.4602
22,"C. K. Pithawala College Of Engg. & Tech., Surat",COMPUTER ENGINEERING,EWS,2022,73.8826
22,"C. K. Pithawala College Of Engg. & Tech., Surat",COMPUTER ENGINEERING,OPEN,2022,76.03
22,"C. K. Pithawala College Of Engg. & Tech., Surat",COMPUTER ENGINEERING,SC,2022,26.8354
22,"C. K. Pithawala College Of Engg. & Tech., Surat",COMPUTER ENGINEERING,SEBC,2022,60.4125
22,"C. K. Pithawala College Of Engg. & Tech., Surat",ELECTRICAL ENGINEERING,OPEN,2022,4.5409
23,"C.U.Shah College Of Engg.& Tech.,Wadhvan",COMPUTER ENGINEERING,OPEN,2022,8.2926
25,"Chandubhai S Patel Institute Of Technology, Changa",COMPUTER ENGINEERING,EWS,2022,92.5107
25,"Chandubhai S Patel Institute Of Technology, Changa",COMPUTER ENGINEERING,OPEN,2022,92.6331
25,"Chandubhai S Patel Institute Of Technology, Changa",COMPUTER ENGINEERING,SC,2022,71.8674
25,"Chandubhai S Patel Institute Of Technology, Changa",COMPUTER ENGINEERING,SEBC,2022,87.3285
25,"Chandubhai S Patel Institute Of Technology, Changa",COMPUTER SCIENCE & ENGINEERING,EWS,2022,93.0517
25,"Chandubhai S Patel Institute Of Technology, Changa",COMPUTER SCIENCE & ENGINEERING,OPEN,2022,93.5754
25,"Chandubhai S Patel Institute Of Technology, Changa",COMPUTER SCIENCE & ENGINEERING,SC,2022,78.7813
